scene,sisdr_enhance,sisdr_mixture,pesq_enhance,pesq_mixture,stoi_enhance,stoi_mixture,haspi_enhance,haspi_mixture,hasqi_enhance,hasqi_mixture
S01367,-0.5779652670025826,-4.993078112602234,0,0,0.6511261773540892,0.6528191168701748,0.0052466453,0.005669992,0.003771876,0.0043620146
S01345,-8.1922447681427,-8.842202425003052,0,0,0.4019697613405938,0.6396197427204882,0.0051658815,0.006425902,0.008268878,0.006660215
S00631,-17.917670011520386,-17.079145908355713,0,0,0.300133359837798,0.24265417901451308,0.00668998,0.014186387,0.021113627,0.035023782
S02103,-4.423990547657013,-11.32217288017273,0,0,0.49627242451860254,0.5517577786078673,0.009811464,0.005335041,0.0050880234,0.013111469
S01682,-3.8436609506607056,-13.335908651351929,0,0,0.42114657213157514,0.29582814202885743,0.00814144,0.032230273,0.01399293,0.01632555
S05321,2.4634765088558197,-0.9502478688955307,0,0,0.6402227320431366,0.7257945666314112,0.006566254,0.006218205,0.0054260986,0.025345221
S03537,0.9582331031560898,0.648433268070221,0,0,0.6147663432761232,0.8026099823244517,0.01490087,0.032048002,0.0049027638,0.012129984
S05516,2.0234911143779755,-6.676878333091736,0,0,0.6371717645681177,0.4512195647154074,0.005624704,0.008126893,0.00909951,0.0054286807
S02809,4.456080794334412,-1.692390888929367,0,0,0.7337835324423756,0.7581969963622586,0.006929109,0.027211795,0.011206042,0.0232419
S01160,5.71169376373291,-0.46617768704891205,0,0,0.7597666822199591,0.7873359862774394,0.008818392,0.006430054,0.0057700314,0.012221608
S03417,-4.787348508834839,-12.54910945892334,0,0,0.3468599369294596,0.41374420848197563,0.0068252105,0.006548634,0.0029745074,0.004874155
S05974,6.292294263839722,0.017505522118881345,0,0,0.681451013235693,0.7051645409448462,0.02079647,0.0064869495,0.00829808,0.003916193
S02811,3.174840807914734,-2.5595659017562866,0,0,0.6800549358651001,0.8051173387295093,0.026153008,0.022899194,0.02164664,0.011990652
S02655,4.430862665176392,-1.958702802658081,0,0,0.6434900434636186,0.6618942853657277,0.06684295,0.018723601,0.014037651,0.01952286
S04453,-3.7873443961143494,-11.169191598892212,0,0,0.5306220236152628,0.6116483202114094,0.005136653,0.034352243,0.010957301,0.024082249
S01407,-10.392605066299438,-15.685700178146362,0,0,0.27778720877203955,0.2076802743016698,0.03866925,0.005696822,0.018316837,0.008149082
S04174,0.5653075128793716,-4.76933091878891,0,0,0.5283082789460565,0.6612153256390763,0.0037528626,0.011200682,0.010761481,0.010375022
S01455,0.30011286959052086,-4.556347131729126,0,0,0.6826687960762206,0.7737373982157014,0.005030165,0.008463486,0.002114865,0.0060523427
S05810,5.7206034660339355,-1.529923528432846,0,0,0.8344399525716764,0.9166366685404961,0.007653209,0.060883515,0.01819752,0.0105562955
